MATERIAL_CONFLICT,any_diff,course_code,course_name,campus,field,A_uploaded_sheet,B_website,C_counsellor_course_tab,D_whatsapp,E_navya,CHOSEN_VALUE (fill this in),NOTES
,yes,BSAV-G3,Grade III,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G4,Grade IV,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G5,Grade V,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G6,Grade VI,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G7,Grade VII,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G8,Grade VIII,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSAV-G9,Grade IX,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,Academic year,,
,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,affiliation,"ABVMUUP (ATAL BIHARI VAJPAYEE MEDICAL UNIVERSITY, LUCKNOW","Atal Bihari Vajpayee Medical University, Lucknow | Indian Nursing Council","ABVMU, INC",,,,
,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,entrance_exam,ABVMUP Combined Nursing Entrance Test (CNET),UPCNET (UP Combined Nursing Entrance Test),ABVMUP Combined Nursing Entrance Test (CNET),,UPCNET (UP Combined Nursing Entrance Test) or CPNET / merit-based,,
,yes,BSCN-GN,Bachelor of Science in Nursing (B.Sc Nursing),Greater Noida Campus,subjects,"Physics, Chemistry & Biology",,"Physics, Chemistry, Biology, English",,,,
,yes,DAOTT-GN,Diploma of Anesthesia & OT Technology (D.AOTT),Greater Noida Campus,affiliation,,Uttar Pradesh State Medical Faculty,UP SMF,,,,
,yes,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),affiliation,"SCERT, UP Exam Regulatory Authority Allahabad",Examination Regulatory Authority Uttar Pradesh | National Council for Teacher Education,"ERA UP, NCTE",,,,
,yes,DELED-GZ,Diploma in Elementary Education (D.El.Ed),Ghaziabad Campus 2 (Avantika),entrance_exam,Admission via UP D.El.Ed Counselling,UPDELED Counselling,Admission via UP D.El.Ed Counselling,,,,
,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,affiliation,"Pharmacy Council of India (PCI), UP Board of Technical Education, Lucknow","Pharmacy Council of India | Board of Technical Education, Uttar Pradesh","PCI, BTE UP",,,,
,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,entrance_exam,"JEECUP (UP Polytechnic) , NIMT Admission Test (NAT)",UPCPAT (UP Combined Paramedical Admission Test),JEECUP (UP Polytechnic),,JEECUP / merit-based,,
,yes,DPHARMA-GN,Diploma in Pharmacy (D.Pharma),Greater Noida Campus,subjects,"Physics, Chemistry & Biology OR Physics, Chemistry & Mathematics",,"Physics, Chemistry, Biology or Mathematics",,,,
,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,affiliation,UPSMF,Uttar Pradesh State Medical Faculty,UP SMF,,,,
,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,duration,2 Years,2 years (annual),,,,,
,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,entrance_exam,"NEET, NIMT Admission Test (NAT)",UPCPAT (UP Combined Paramedical Admission Test),,,,,
,yes,DPT-GN,Diploma in Physiotherapy (DPT),Greater Noida Campus,subjects,"Physics, Chemistry & Biology OR Physics, Chemistry & Mathematics",,"Physics, Chemistry, Biology or Mathematics",,,,
,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,affiliation,UPSMF. INC,Uttar Pradesh State Medical Faculty | Indian Nursing Council,"UP SMF, INC",,,,
,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,entrance_exam,UP GNM Entrance Test (UPGET),UP GNM Entrance Test (UPGET),UP GNM Entrance Test (UPGET),,UPCNET / merit-based,,
,yes,GNM-GN,General Nursing & Midwifery (GNM),Greater Noida Campus,subjects,10+2 (English Subject Mandatory with Any Stream) OR ANM,,"English, Any Stream 10+2",,,,
,yes,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,affiliation,"CCS University Meerut, Bar Coucil of India*",Chaudhary Charan Singh University | Bar Council of India,"CCSU, BCI",,,,
,yes,LLB-GN,Bachelor of Laws (LLB),Greater Noida Campus,entrance_exam,"CLAT, LSAT, NIMT Admission Test (NAT)",CLAT / University Entrance Test,"CLAT, LSAT, NIMT Admission Test (NAT)",,"BA LLB: CLAT, LSAT, ULSAT. LLB: Merit-based / CLAT PG.",,
,yes,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,affiliation,"ALU (Dr Bhimrao Ambedkar Law University, Jaipur), Bar Council of India","Dr. Bhimrao Ambedkar Law University, Jaipur | Bar Council of India","DBALU, BCI",,,,
,yes,LLB-KT,Bachelor of Laws (LLB),Kotputli Jaipur Campus,entrance_exam,"CLAT, LSAT, NIMT Admission Test (NAT)",CLAT / University Entrance Test,"CLAT, LSAT, NIMT Admission Test (NAT)",,"BA LLB: CLAT, LSAT, ULSAT. LLB: Merit-based / CLAT PG.",,
,yes,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,affiliation,"Dr. A.P.J. Abdul Kalam Technical University, AICTE","Dr. A.P.J. Abdul Kalam Technical University, Lucknow | All India Council for Technical Education","AKTU, AICTE",,,,
,yes,MBA-GN,Master of Business Administration (MBA),Greater Noida Campus,entrance_exam,CAT/MAT/UPSEE/GMAT,CAT / MAT / CMAT / UPCET,CAT / MAT / UPSEE / GMAT,,"CAT, MAT, XAT, CMAT, GMAT, SNAP, or NMAT",,
,yes,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-MYP1,MYP 1 (Grade VI),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 11 years plus,,Age-appropriate admission.,,
,yes,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-MYP2,MYP 2 (Grade VII),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 12 years plus,,Age-appropriate admission.,,
,yes,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-MYP3,MYP 3 (Grade VIII),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 13 years plus,,Age-appropriate admission.,,
,yes,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-PYP1,PYP 1 (Grade I),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 6 years plus,,Age-appropriate admission.,,
,yes,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-PYP2,PYP 2 (Grade II),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 7 years plus,,Age-appropriate admission.,,
,yes,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-PYP3,PYP 3 (Grade III),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 8 years plus,,Age-appropriate admission.,,
,yes,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-PYP4,PYP 4 (Grade IV),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 9 years plus,,Age-appropriate admission.,,
,yes,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),duration,,1 year (annual),,,Academic year,,
,yes,MES-PYP5,PYP 5 (Grade V),Ghaziabad Campus 2 (Avantika),eligibility,,,Minimum age: 10 years plus,,Age-appropriate admission.,,
,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,affiliation,Atal Bihai Vajpayee Medical University Lucknow,"Atal Bihari Vajpayee Medical University, Lucknow",ABVMU,,,,
,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,duration,2 Years,2 years (semester),,,,,
,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,entrance_exam,Combined Paramedical Masters Entrance,UPCPAT (UP Combined Paramedical Admission Test),NEET UG,,,,
,yes,MMRIT-GN,M.Sc. in Medical Radiology & Imaging Technology (MMRIT),Greater Noida Campus,subjects,BSc MRIT with 50% aggregate / Any BSc with 60% aggregate,,B.Sc MRIT or equivalent B.Sc,,,,
,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,affiliation,Atal Bihai Vajpayee Medical University Lucknow,"Atal Bihari Vajpayee Medical University, Lucknow",ABVMU,,,,
,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,duration,2 Years,2 years (semester),,,,,
,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,entrance_exam,Combined Paramedical Masters Entrance,UPCPAT (UP Combined Paramedical Admission Test),Combined Paramedical Masters Entrance,,,,
,yes,MPT-GN,Masters in Physiotherapy (MPT),Greater Noida Campus,subjects,BPT,,BPT with 6 months internship,,,,
,yes,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,affiliation,AICTE,All India Council for Technical Education,AICTE,,,,
,yes,PGDM-GN,Post Graduate Diploma in Management (PGDM),Greater Noida Campus,entrance_exam,CAT/MAT/GMAT,,CAT / MAT / GMAT,,"CAT, MAT, XAT, CMAT",,
,yes,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,affiliation,AICTE,All India Council for Technical Education,AICTE,,,,
,yes,PGDM-KT,Post Graduate Diploma in Management (PGDM),Kotputli Jaipur Campus,entrance_exam,CAT/MAT/GMAT,AICTE CMAT or UPSEE or AIMA MAT or IIM CAT or GMAT,CAT / MAT / GMAT,,"CAT, MAT, XAT, CMAT",,
,,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,age,NA,,,,,,
,,BALLB-GN,Bachelor of Arts and Bachelor of Laws (BALLB),Greater Noida Campus,intake_seats,120,120,120,,,,
,,BBA-GN,Bachelor of Business Administration (BBA),Greater Noida Campus,age,NA,,,,,,
,,BCA-GN,Bachelor of Computer Application (BCA),Greater Noida Campus,age,NA,,,,,,
,,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,age,NA,,,,,,
,,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,intake_seats,100,100,100,,,,
,,BED-GN,Bachelor of Education (B.Ed),Greater Noida Campus,subjects,Any Graduate,,Any Graduate,,,,
,,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),age,NA,,,,,,
,,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),intake_seats,100,100,100,,,,
,,BED-GZ,Bachelor of Education (B.Ed),Ghaziabad Campus 2 (Avantika),subjects,Any Graduate,,Any Graduate,,,,
,,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,age,NA,,,,,,
,,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,intake_seats,100,100,100,,,,
,,BED-KT,Bachelor of Education (B.Ed),Kotputli Jaipur Campus,subjects,Any Graduate,,Any Graduate,,,,
,,BMRIT-GN,B.Sc in Radiology & Imaging Technology (BMRIT),Greater Noida Campus,intake_seats,40,40,40,,,,
,,BSA-G1,Grade I,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G1,Grade I,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G1,Grade I,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G1,Grade I,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G10,Grade X,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G10,Grade X,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G10,Grade X,Ghaziabad Campus 1 (Arthala),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,BSA-G10,Grade X,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G2,Grade II,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G2,Grade II,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G2,Grade II,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G2,Grade II,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G3,Grade III,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G3,Grade III,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G3,Grade III,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G3,Grade III,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G4,Grade IV,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G4,Grade IV,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G4,Grade IV,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G4,Grade IV,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G5,Grade V,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G5,Grade V,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G5,Grade V,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G5,Grade V,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G6,Grade VI,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G6,Grade VI,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G6,Grade VI,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G6,Grade VI,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G7,Grade VII,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G7,Grade VII,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G7,Grade VII,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G7,Grade VII,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G8,Grade VIII,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G8,Grade VIII,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G8,Grade VIII,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSA-G8,Grade VIII,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-G9,Grade IX,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-G9,Grade IX,Ghaziabad Campus 1 (Arthala),eligibility,,,,,Age-appropriate admission.,,
,,BSA-G9,Grade IX,Ghaziabad Campus 1 (Arthala),entrance_exam,,,,,Interaction and age-appropriate assessment,,
,,BSA-G9,Grade IX,Ghaziabad Campus 1 (Arthala),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSA-LKG,LKG,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-LKG,LKG,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,,,
,,BSA-LKG,LKG,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSA-NUR,Nursery,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-NUR,Nursery,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,,,
,,BSA-NUR,Nursery,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSA-TOD,Toddlers,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-TOD,Toddlers,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,,,
,,BSA-TOD,Toddlers,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSA-UKG,UKG,Ghaziabad Campus 1 (Arthala),affiliation,,,NIMT Educational Institutions,,,,
,,BSA-UKG,UKG,Ghaziabad Campus 1 (Arthala),duration,,1 year (semester),,,,,
,,BSA-UKG,UKG,Ghaziabad Campus 1 (Arthala),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSAV-G1,Grade I,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G1,Grade I,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G1,Grade I,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G1,Grade I,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G10,Grade X,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G10,Grade X,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G10,Grade X,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G10,Grade X,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G11,Grade XI,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G11,Grade XI,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G11,Grade XI,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G11,Grade XI,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G12,Grade XII,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G12,Grade XII,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G12,Grade XII,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G12,Grade XII,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G2,Grade II,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G2,Grade II,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G2,Grade II,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G2,Grade II,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G3,Grade III,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G3,Grade III,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G3,Grade III,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G3,Grade III,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G4,Grade IV,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G4,Grade IV,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G4,Grade IV,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G4,Grade IV,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G5,Grade V,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G5,Grade V,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G5,Grade V,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G5,Grade V,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G6,Grade VI,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G6,Grade VI,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G6,Grade VI,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G6,Grade VI,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G7,Grade VII,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G7,Grade VII,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G7,Grade VII,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G7,Grade VII,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G8,Grade VIII,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G8,Grade VIII,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G8,Grade VIII,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G8,Grade VIII,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-G9,Grade IX,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-G9,Grade IX,Ghaziabad Campus 3 (Avantika II),eligibility,,,,,Age-appropriate admission.,,
,,BSAV-G9,Grade IX,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,Interaction and age-appropriate assessment,,
,,BSAV-G9,Grade IX,Ghaziabad Campus 3 (Avantika II),fee_first_year,,,,,"Arthala monthly tuition: Nursery to Class I Rs 800, Class II-V Rs 950, Class VI-VIII Rs 1,150, Class IX-X Rs 1,450. No admission fee for new or existing parents.",,
,,BSAV-LKG,LKG,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-LKG,LKG,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,,,
,,BSAV-LKG,LKG,Ghaziabad Campus 3 (Avantika II),entrance_exam,,Interaction and age-appropriate assessment,,,,,
,,BSAV-NUR,Nursery,Ghaziabad Campus 3 (Avantika II),affiliation,,,NIMT Educational Institutions,,,,
,,BSAV-NUR,Nursery,Ghaziabad Campus 3 (Avantika II),duration,,1 year (semester),,,,,
